6/30		終日、来客なく東京・富ヶ谷の私邸で過ごす
6/8	22:05	（日本時間午後）カナダのトルドー首相と首脳会談（～23:02）※いずれの時間も官邸報道室などの発表
6/7	6:50	(日本時間午前７時前)政府専用機でワシントンのアンドリュース空軍基地着
6/7	7:30	(日本時間午前７時半ごろ )迎賓館ブレアハウス着
6/7	8:00	（日本時間午前）ブレアハウスで河野外務大臣と面会
6/7	9:00	ブレアハウス泊（いずれも正確な時間は不明です）
6/6	9:38	東京・富ヶ谷の私邸発
6/6	9:53	東京・千代田区のホテルニューオータニ着。全国市長会議に出席し、あいさつ
6/6	10:19	ホテルニューオータニ発
6/6	10:26	官邸着。記者団に対し「おはよう」とあいさつ
6/6	10:39	宮腰総理大臣補佐官と面会（～10:44)
6/6	11:01	自民党行政改革推進本部長を務める甘利明元経済再生担当大臣らから提言書受け取り（～11:11）
6/6	11:20	まち・ひと・しごと創生会議に出席し「地方にこそチャンスがある。若者のＵターンなどを力強く後押しし、地方創生を一層加速していく」と述べる。（～11：40）
6/6	11:52	自民党の水産総合調査会長を務める浜田靖一元防衛大臣と全国漁業協同組合連合会の岸宏会長と面会（～12:17)
6/6	13:02	荒井内閣官房参与と面会（～13:07）
6/6	13:38	世耕経済産業大臣、経済産業省の柳瀬唯夫経済産業審議官、田中繁広通商政策局長、多田明弘製造産業局長と面会（～14:09)
6/6	14:10	外務省の森健良外務審議官、鈴木量博北米局長、岡浩中東アフリカ局長、財務省の浅川雅嗣財務官、武内良樹国際局長、経済産業省の柳瀬経済産業審議官と外遊前の勉強会。西村官房副長官も同席（～14:35）
6/6	14:36	TPP等政府対策本部の梅本和義首席交渉官、外務省の森外務審議官、山﨑和之外務審議官、鈴木北米局長、山野内勘二経済局長、農林水産省の松島浩道農林水産審議官、経済産業省の柳瀬経済産業審議官、国土交通省の田端浩国土交通審議官と外遊前の勉強会。西村官房副長官も同席（～15:04)
6/6	15:05	外務省の森外務審議官、山﨑外務審議官、梨田和也国際協力局長、財務省の浅川財務官、武内国際局長と外遊前の勉強会。西村官房副長官も同席（～15:32)
6/6	15:33	森外務審議官、山﨑外務審議官と外遊前の勉強会。西村官房副長官も同席（～15:51)
6/6	16:23	兼原官房副長官補、外務省の秋葉剛男事務次官と面会（～16:38)
6/6	17:06	報道各社のインタビュー。記者団に対し「北朝鮮問題について、トランプ大統領とは緊密に連携し、立場を完全に一致させている。史上初めての米朝首脳会談を前に核・ミサイル問題、そして何よりも大切な拉致問題が前進するよう、しっかりとすり合わせを行い、米朝首脳会談を成功させたい」と述べる。
6/6	17:09	官邸発
6/6	17:29	羽田空港着
6/6	17:55	政府専用機でアメリカの首都ワシントンに向けて、羽田空港発
6/5	7:47	公邸発
6/5	7:48	官邸入り　右手をあげて「おはよう」とあいさつ
6/5	7:58	国土強靱化推進本部（～8：18）
6/5	8:23	閣議（～8:34）
6/5	8:39	行政文書の管理の在り方等に関する閣僚会議（～8:46）<br>「行政全体の信頼が損なわれたことは痛恨の極みだ」と述べる。
6/5	8:55	西川公也内閣官房参与と面会（～8:58）
6/5	9:23	官邸発
6/5	9:37	東京・千代田区の日本歯科大学付属病院で歯の治療（～10:04）
6/5	10:21	官邸着
6/5	10:26	外務省の山﨑和之外務審議官、鈴木秀生地球規模課題審議官、経済産業省の柳瀬唯夫経産審議官、環境省の高橋康夫環境審議官らと訪米に向けた勉強会（～11:02）
6/5	11:03	経団連の榊原定征前会長、中西宏明会長と面会（～11:27）
6/5	11:28	藤井聡内閣官房参与と面会（～11:41）
6/5	11:45	堺屋太一内閣官房参与と面会（～11:52）
6/5	11:53	日銀の黒田東彦総裁と会食（～13:00）
6/5	13:53	和歌山県田辺市の真砂充敏市長、紀州梅の会「梅娘」らの表敬（～14:00）<br>梅干しを試食し「甘酸っぱくて疲れがとれます」と述べる。
6/5	14:00	小野寺防衛大臣、防衛省の前田哲防衛政策局長、自衛隊の河野克俊統合幕僚長と打ち合わせ（～14:28）
6/5	14:29	谷内正太郎国家安全保障局長、北村滋内閣情報官、防衛省の岡真臣防衛政策局次長、自衛隊の本松敬史統合幕僚副長と打ち合わせ（～14:41）
6/5	14:46	自民党経協インフラ総合戦略調査特別委員会の委員長を務める二階幹事長、林幹事長代理らと面会（～15:00）
6/5	15:01	河野外務大臣、外務省の秋葉剛男事務次官、森健良外務審議官、金杉憲治アジア大洋州局長、鈴木量博北米局長、岡浩中東アフリカ局長らと面会（～15:37）
6/5	16:27	北村内閣情報官、防衛省の前田防衛政策局長、大塚海夫情報本部長と面会
6/5	16:35	防衛省の前田防衛政策局長、大塚情報本部長が出る
6/5	16:48	北村内閣情報官が出る
6/5	16:49	米マッキンゼー・アンド・カンパニーのドミニク・バートン　グローバル・マネージング・パートナー、ケビン・スニーダー　次期グローバル・マネージング・パートナーと面会（～17:13）
6/5	17:21	経済財政諮問会議（～18:03）
6/5	18:04	麻生副総理兼財務大臣と面会（～17:16）
6/5	18:19	官邸発
6/5	18:24	東京・永田町の日本料理店「北大路　赤坂茶寮」着<br>自民党の都道府県青年局経験者との会食に出席
6/5	18:47	日本料理店発
6/5	18:57	東京・有楽町のフランス料理店「アピシウス」着<br>竹下派幹部の額賀福志郎元財務大臣、竹下亘党総務会長、茂木敏充経済再生担当大臣、吉田博美党参議院幹事長と会食
6/5	22:01	フランス料理店発
6/5	22:24	東京・富ヶ谷の私邸着
6/4	8:25	東京・富ヶ谷の私邸発
6/4	8:38	官邸着　「おはようございます」と右手をあげて入る
6/4	8:40	野上浩太郎官房副長官と面会（～09:24）
6/4	9:44	規制改革推進会議に出席（～09:49）
6/4	9:51	官邸発
6/4	9:52	国会着
6/4	9:54	参議院議長応接室に入る
6/4	10:02	応接室出て、本会議場に入る
6/4	10:06	本会議開会
6/4	12:14	本会議散会
6/4	12:15	本会議場出る
6/4	12:16	国会発
6/4	12:18	官邸着
6/4	12:38	政府与党連絡会議「行政の長として責任を痛感している」と述べ、財務省の決裁文書の改ざん問題などについて事実関係の調査・解明を踏まえて問題点を洗い出し、組織や制度の見直しなど、実効性のある対策を講じていく考えを示す。（～12:54）
6/4	12:55	宗像紀夫内閣官房参与と岡本全勝内閣官房参与と面会
6/4	13:03	岡本参与が出る
6/4	13:08	宗像参与が出る
6/4	13:30	全国商工会連合会の森義久新会長らがあいさつ。自民党鹿児島県連の会長を務める森山国会対策委員長が同席（～13:49）
6/4	14:02	北村滋内閣情報官と面会（～14:15）
6/4	14:16	外務省の秋葉剛男事務次官、森健良外務審議官、金杉憲治アジア大洋州局長、鈴木量博北米局長と面会（～15:19）
6/4	15:20	外務省の山﨑和之外務審議官、鈴木哲総合外交政策局長、鈴木秀生地球規模課題審議官、経済産業省の柳瀬唯夫経済産業審議官と面会（～15:49）
6/4	15:53	麻生太郎副総理兼財務大臣、財務省の浅川雅嗣財務官と面会（～16:07）
6/4	16:13	未来投資会議に出席（～16:48）
6/4	17:51	財務省が決裁文書の改ざん問題をめぐる内部調査と処分を発表したことを受けて記者団に対し「責任を痛感しており、再発防止策を講じていく」と述べた上で、麻生副総理兼財務大臣を続投させる考えを重ねて示す。（～17:52）
6/4	16:53	官邸発
6/4	16:55	国会着
6/4	16:57	国会内の自民党幹事長会議室に入る　香川県知事選立候補予定者に推薦証を渡す（～16:59）
6/4	16:59	国会内の自民党総裁室に入る　党役員会（～17:18）
6/4	17:19	総裁室出る
6/4	17:20	国会出る
6/4	17:30	東京・千代田区のパレスホテル東京着　海上保安制度創設７０周年記念式典に出席
6/4	18:27	ホテル発
6/4	18:35	公邸着　そのまま公邸泊
6/3	6:57	東京・富ヶ谷の私邸発
6/3	7:51	東京都昭島市の「昭和の森ゴルフコース」着
6/3	8:25	学生時代の同窓生らとゴルフ<br>プレーの合間に記者団からの　「プレーはどうか」という質問に「楽しくやっています」と応じ、「国内外の課題は山積しているが準備は万端か」という質問に笑って片手を挙げる。
6/3	16:03	「昭和の森ゴルフコース」発
6/3	17:24	東京・渋谷の「ＨＡＩＲ　ＧＵＥＳＴ」着　散髪
6/3	18:57	「ＨＡＩＲ　ＧＵＥＳＴ］発
6/3	19:09	私邸着
6/2	7:48	公邸発
6/2	7:58	JR東京駅着
6/2	8:10	新幹線でJR東京駅発
6/2	10:22	JR京都駅着。通行人と握手や記念撮影
6/2	10:29	JR京都駅発
6/2	11:06	大津市のびわ湖大津プリンスホテル着
6/2	11:08	ホテル内で滋賀県の三日月大造知事と懇談（～11:22）
6/2	11:23	自民党滋賀県連の定例大会で演説し、アメリカのトランプ大統領が米朝首脳会談を当初の予定通り今月１２日に開催すると発表したことに関連し、「核武装した北朝鮮を日本は決して容認する訳にはいかない。圧力を高め、抜け道は許さないという姿勢で日本は国際社会をリードし国際社会とともに圧力をかけてきた」と述べる。（～11:54）
6/2	11:55	地方議員ら出席者たちと記念撮影（～12:13）
6/2	12:15	自民党滋賀県連の会長を務める上野賢一郎衆議院議員らと会食。西村官房副長官も同席（～13:20)	○
6/2	13:24	びわ湖大津プリンスホテル発
6/2	13:40	大津市にある社会福祉法人「小鳩会」が運営する施設着。滋賀県の三日月知事らが出迎え。児童養護施設や乳児院を視察
6/2	14:01	社会福祉法人「小鳩会」が運営する施設発
6/2	14:34	JR京都駅着
6/2	14:45	新幹線でJR京都駅発
6/2	17:03	JR東京駅着
6/2	17:06	JR東京駅発
6/2	17:30	東京・富ヶ谷の私邸着
6/1	7:21	公邸発
6/1	7:22	官邸着<br>「かりゆしウエア」を着て出邸し、記者団に着心地を問われ「軽くて涼しくて気持ちいいよ」と述べる。
6/1	7:32	野上浩太郎官房副長官と打ち合わせ（～8:10）
6/1	8:12	農林水産業・地域の活力創造本部（～8:21）
6/1	8:26	閣議（～8:38）
6/1	8:40	野上官房副長官と打ち合わせ（～8:49）
6/1	8:50	西村康稔官房副長官と打ち合わせ（～9:25）
6/1	9:51	官邸発<br>記者の「佐川氏が不起訴になりましたが、行政府の長として責任をどうお考えですか」との問いには答えず「ご苦労様」と述べる。
6/1	9:53	国会着
6/1	9:54	参議院議長応接室に入る
6/1	9:57	参議院本会議場に入る
6/1	10:00	参議院本会議　開会
6/1	12:10	参議院本会議　休憩<br>参議院本会議場を出る
6/1	12:12	国会発
6/1	12:14	官邸着
6/1	13:42	自民党の安全保障調査会長を務める中谷元　衆議院議員から「防衛計画の大綱」の見直しに向けた提言書を受け取り（～14:02）
6/1	14:04	財務省の武内良樹国際局長、外務省の山﨑和之外務審議官、梨田和也国際協力局長らと面会（～14:53）
6/1	14:54	外務省の森健良外務審議官、山﨑外務審議官と面会（～14:59）
6/1	15:00	外務省の秋葉剛男事務次官と面会（～15:04）
6/1	15:07	官邸発
6/1	15:08	衆議院分館着
6/1	15:09	衆議院　第１３理事会室に入る
6/1	15:13	衆議院　第１３委員室に入る<br>衆議院内閣委員会に出席
6/1	16:32	衆議院内閣委員会を途中退席<br>衆議院　第１３委員室を出る
6/1	16:33	衆議院分館発
6/1	16:35	官邸着
6/1	16:37	茂木経済再生担当大臣、内閣府の河内隆事務次官、新原浩朗政策統括官と面会（～17:11）
6/1	17:13	茨城県鉾田市の岸田一夫市長らによる表敬<br>メロンを試食し「とっても甘い」と感想を述べる（～17:18）
6/1	17:19	人生１００年時代構想会議（～17:59）
6/1	18:11	薗浦健太郎総理大臣補佐官と面会（～18:25）
6/1	18:26	平田竹男内閣官房参与と面会（～18:33）
6/1	18:39	官邸発
6/1	18:40	公邸着
6/1	19:00	公邸泊
